label,timestamp,duration,pkg,dram,socket
delta,1722420015.5810516,36831.889,5176256.0,829398.0,0
delta,1722420015.850915,34515.072,4922351.0,790582.0,0
delta,1722420016.1200993,36021.852,5030017.0,817663.0,0
delta,1722420016.4252663,37456.752,5056689.0,842999.0,0
delta,1722420016.7004657,36222.286,4908130.0,826383.0,0
delta,1722420016.9662194,38159.753,5236132.0,849181.0,0
delta,1722420017.2385433,35686.472,4999072.0,819100.0,0
delta,1722420017.5045872,35467.057,5029162.0,814082.0,0
delta,1722420017.8046045,35469.872,4903918.0,811542.0,0
delta,1722420018.0902672,36812.738,5017809.0,833988.0,0
delta,1722420018.3638794,37313.728,5167284.0,840949.0,0
delta,1722420018.6328144,38139.567,5324632.0,854306.0,0
delta,1722420018.91876,37046.755,5105211.0,832076.0,0
delta,1722420019.1915758,35227.157,4847582.0,807504.0,0
delta,1722420019.4625876,40760.067,5440721.0,889252.0,0
delta,1722420019.7582014,36898.269,5049975.0,825878.0,0
delta,1722420020.029049,37582.323,5178332.0,856647.0,0
delta,1722420020.3012066,41481.361,5548509.0,900757.0,0
delta,1722420020.5733516,36876.782,4936877.0,819071.0,0
delta,1722420020.844054,39293.743,5368273.0,883024.0,0
delta,1722420021.1173403,43494.948,5633897.0,948141.0,0
delta,1722420021.4184134,35288.879,4801074.0,802439.0,0
delta,1722420021.6847367,36040.822,4885058.0,819284.0,0
delta,1722420021.9508872,34693.281,4741198.0,795278.0,0
delta,1722420022.2212002,38665.652,5139758.0,851093.0,0
delta,1722420022.49773,38491.081,5160814.0,847742.0,0
delta,1722420022.777824,37707.031,5154405.0,858024.0,0
delta,1722420023.0604322,39546.31,5416856.0,880102.0,0
delta,1722420023.3416362,38824.086,5460618.0,868275.0,0
delta,1722420023.6218894,38964.052,5419664.0,858835.0,0
delta,1722420023.9006588,37751.58,5241015.0,841393.0,0
delta,1722420024.185124,43703.814,5656540.0,940934.0,0
delta,1722420024.4703176,41150.906,5490464.0,904689.0,0
delta,1722420024.7527556,38416.876,5215563.0,866439.0,0
delta,1722420025.0306163,37044.931,5028795.0,831066.0,0
delta,1722420025.3094835,38860.798,5237902.0,859753.0,0
delta,1722420025.5886986,39118.799,5260363.0,863838.0,0
delta,1722420025.8700821,36290.158,5030078.0,828740.0,0
delta,1722420026.143349,36244.15,4924670.0,817310.0,0
delta,1722420026.4186795,36958.218,5061633.0,825833.0,0
delta,1722420026.6941366,36570.644,5074572.0,815674.0,0
delta,1722420026.965924,37450.296,5196825.0,850634.0,0
delta,1722420027.2398517,36734.901,5004626.0,817525.0,0
delta,1722420027.5174887,35782.931,4939867.0,812538.0,0
delta,1722420027.7891195,38202.828,5320177.0,870768.0,0
delta,1722420028.1042888,41513.984,5824997.0,983101.0,0
delta,1722420028.409101,38742.838,5366807.0,859523.0,0
delta,1722420028.6852822,37064.365,5162585.0,817540.0,0
delta,1722420028.9561932,35015.549,5010974.0,800496.0,0
delta,1722420029.2220497,43499.499,5951157.0,944546.0,0
delta,1722420029.5146604,38472.377,5299608.0,867755.0,0
delta,1722420029.808402,40469.525,5574998.0,899074.0,0
delta,1722420030.099403,42174.049,5701523.0,907611.0,0
delta,1722420030.381538,35005.306,4847888.0,797345.0,0
delta,1722420030.6462662,37293.518,5206041.0,833208.0,0
delta,1722420030.9490712,38144.654,5271532.0,842495.0,0
delta,1722420031.2236705,37157.302,5310045.0,832182.0,0
delta,1722420031.5046973,36516.265,5285448.0,832519.0,0
delta,1722420031.772096,37205.985,5272630.0,832290.0,0
delta,1722420032.043439,37957.718,5327623.0,855163.0,0
delta,1722420032.3172772,36105.37,5166368.0,812843.0,0
delta,1722420032.5866075,34446.898,4986010.0,795845.0,0
delta,1722420032.8544123,37104.167,5215684.0,833376.0,0
delta,1722420033.1404257,35626.779,5172167.0,806065.0,0
delta,1722420033.4172025,36978.922,5285570.0,825787.0,0
delta,1722420033.688654,37010.589,5292833.0,825894.0,0
delta,1722420033.9594061,43305.939,5894699.0,917144.0,0
delta,1722420034.2475026,50738.394,6305404.0,1054078.0,0
delta,1722420034.5552914,37236.274,5161974.0,838914.0,0
delta,1722420034.8253078,37478.524,5199389.0,842296.0,0
delta,1722420035.1179056,36065.71,4839282.0,805942.0,0
delta,1722420035.3902073,34747.986,4909778.0,794437.0,0
delta,1722420035.6562903,36948.937,5045703.0,827225.0,0
delta,1722420035.946824,34968.986,5000109.0,808191.0,0
